2025-12-15 16:52:26 - daily
15/12/2025 16:54:44,38 - daily
16/12/2025 17:25:33,04 - daily
16/12/2025 17:25:52,02 - daily
16/12/2025 17:25:55,28 - daily
18/12/2025  7:32:30,15 - daily
18/12/2025  7:32:34,98 - daily
18/12/2025  7:32:37,86 - daily
18/12/2025  9:26:57,35 - daily
18/12/2025  9:27:01,02 - daily
19/12/2025  9:12:25,96 - daily
19/12/2025  9:12:30,17 - daily
19/12/2025  9:12:32,78 - daily
19/12/2025  9:12:36,46 - daily
20/12/2025 18:02:11,10 - daily
20/12/2025 18:02:14,19 - daily
20/12/2025 18:02:16,57 - daily
